"","Knockout","Ion","logConcentration_corr_norm","Symb"
"1","YAL002W","Ca",6.68025044855297,1
"2","YAL004W","Ca",-0.877572948199698,0
"3","YAL005C","Ca",-0.154812687070262,0
"4","YAL007C","Ca",-0.540616519173511,0
"5","YAL008W","Ca",-0.879232685017053,0
"6","YAL009W","Ca",-0.945932881030683,0
"7","YAL010C","Ca",-0.0893873013533832,0
"8","YAL011W","Ca",1.44362784569087,0
"9","YAL013W","Ca",2.5640994209042,0
"10","YAL014C","Ca",-0.746676067800647,0
"11","YAL015C","Ca",-0.804589959979828,0
"12","YAL017W","Ca",-1.07816621569043,0
"13","YAL018C","Ca",-0.865256967725146,0
"14","YAL019W","Ca",-0.67416807754867,0
"15","YAL020C","Ca",-0.863741376250222,0
"16","YAL021C","Ca",3.49909636638561,1
"17","YAL022C","Ca",-0.847169243752667,0
"18","YAL023C","Ca",0.149350306595617,0
"19","YAL026C","Ca",2.27151886003531,0
"20","YAL027W","Ca",1.16032494320069,0
"21","YAL028W","Ca",0.735574056274377,0
"22","YAL029C","Ca",0.16385833610181,0
"23","YAL030W","Ca",-0.85539728131254,0
"24","YAL031C","Ca",-0.358643960013544,0
"25","YAL034C","Ca",-0.638532121442647,0
"26","YAL035W","Ca",4.65513398627496,1
"27","YAL036C","Ca",-1.0858153224833,0
"28","YAL037W","Ca",0.259773742401603,0
"29","YAL039C","Ca",-0.833758619981468,0
"30","YAL040C","Ca",-0.760032952026182,0
"31","YAL042W","Ca",-0.756035273367245,0
"32","YAL043C-a","Ca",-1.13159338391929,0
"33","YAL044C","Ca",-0.785464247879989,0
"34","YAL045C","Ca",0.274421415597274,0
"35","YAL046C","Ca",0.00279765827609135,0
"36","YAL048C","Ca",-0.24170594319306,0
"37","YAL049C","Ca",-0.464135093680371,0
"38","YAL051W","Ca",-0.241472461707821,0
"39","YAL053W","Ca",-1.01537409817275,0
"40","YAL055W","Ca",-0.78743336562898,0
"41","YAL056W","Ca",-0.346482965702075,0
"42","YAL058W","Ca",1.99047306937237,1
"43","YAL059W","Ca",-1.17808837003671,0
"44","YAL060W","Ca",-0.293142132741415,0
