"","PC1","PC2"
"YAL019W",0.268808286414834,-0.212053900821372
"YAL026C",0.26778513337006,-0.175032545506525
"YAL031C",0.26607586560763,-0.1621143727736
"YAL034C",0.257882543339909,-0.150427609879091
"YAL037W",0.235788514562313,-0.146467294028758
"YAL040C",0.228791372298229,-0.129600909527689
"YAL042W",0.209382070620871,-0.123753183548695
"YAL045C",0.194679226987805,0.120895144922292
"YAL046C",0.147747426328883,-0.120228046222461
"YAL048C",0.1326675201183,-0.118668537085864
"YAL051W",0.132124953972896,-0.104441293436644
"YAL055W",0.113915952911644,-0.100676098442964
"YAL056W",0.105087378721037,-0.095150137270217
"YAL061W",-0.103560670391357,-0.0883033741412367
"YAL066W",0.10053080292613,-0.0838864358244075
"YAL067C",0.0879673471407144,-0.0830292709606936
"YAL068C",0.0859661436171597,-0.0829550306719542
"YAR002W",0.0792429795231791,-0.0825634019798398
"YAR003W",-0.0790867435021458,-0.0823589064319757
"YAR015W",0.0775611546176293,-0.0815513202588029
"YAR018C",0.0754689018529233,-0.0805673556143813
"YAR023C",0.0672544516323286,-0.0804551796750101
"YAR027W",0.0654190496225354,-0.0802190782824408
"YAR030C",-0.0620028923948593,-0.0796818632071614
"YAR035W",-0.06103696684929,-0.0794698979057863
"YAR037W",0.0607283253480714,-0.0780917079313128
"YAR042W",0.0593251711878893,-0.0775501285777037
"YAR043C",-0.0557358831040697,-0.0770760553376899
"YAR044W",0.0549147770038272,-0.0763642515958316
"YAR047C",-0.0547717595582894,-0.0754666352133497
"YBR174C",-0.054544477131341,-0.0748748038055637
"YBR175W",0.0545100751057737,-0.07434775583703
"YBR176W",0.0535845120438841,0.0724666182556808
"YBR177C",-0.0535271403129152,-0.0720550047727503
"YBR178W",-0.0533449952725657,-0.0716759212879243
"YBR179C",-0.0531002864888938,-0.0714646194095743
"YBR180W",0.0520796269251182,-0.0713211301220065
"YBR184W",-0.0519686342431982,-0.0709845975952543
"YBR185C",0.0511961738085783,-0.0709360786304672
"YBR186W",-0.050838007732605,-0.0705278063524915
"YBR187W",-0.0501561035836651,-0.0688944644563822
